Perfume;Brand;Gender;Age_Group;Top;Middle;Base
amber;kkw-fragrance;women;Adult (25-40);pink pepper, bergamot, green mandarin;white rose, ylang-ylang, jasmine sambac;sandalwood, tonka bean, cedar
salina;laboratorio-olfattivo;unisex;Adult (25-40);sea salt, pine needles, lemon;sea notes, sand, myrtle, lavender;white musk, vanila, cedar, tonka bean
roma-passione;laura-biagiotti;women;Adult (25-40);black currant, pink grapefruit, italian mandarin;rose, peony, jasmine;amber, vanilla, tonka bean, musk
passport-tokyo;paris-hilton;women;Youth (15-25);amalfi lemon, red apple;frangipani, african orange flower, iris, jasmine;virginia cedar, sandalwood, musk
isa-rose;ulric-de-varens;women;Adult (25-40);watery notes, peach;turkish rose, honey, floral notes;musk
hidden-shades;the-house-of-oud;unisex;Adult (25-40);mirabelle, bergamot, lemon;cherry blossom, jasmine, labdanum;sandalwood, vanilla, tonka bean, benzoin, patchouli, musk
perfect-nectar;sarah-horowitz-parfums;women;Adult (25-40);mango, papaya, tangerine;ylang-ylang, white flowers;tea, green leaves
time-to-play-woman;puma;women;Adult (25-40);lime, red berries, green mango;flowers, lily, rose, tiare flower;musk, sandalwood, amber
black-magic;parfums-genty;women;Mature (40+);geranium, galbanum, mandarin orange;black currant, rose, ylang-ylang, jasmine;oakmoss, patchouli, nutmeg
3-fleurs;parfum-d-empire;women;Adult (25-40);turkish rose, galbanum, ylang-ylang, mint;tuberose, bulgarian rose, jasmine, geranium, iris;tuberose, jasmine, white musk
fancy-red;orlov-paris;unisex;Adult (25-40);pink pepper, bitter orange, mandarin orange, bergamot;ylang-ylang, jasmine;cedar, amberwood, akigalawood
mango;max-philip;unisex;Adult (25-40);mango, orange, mandarin orange, violet;ylang-ylang, frangipani, mango blossom;musk, black currant, red wine
dance-of-life;mary-kay;women;Youth (15-25);apple, may rose;magnolia, jasmine;vanilla, amber
lr-classics-antigua;lr;women;Adult (25-40);clove, peach, bergamot, apricot;violet, lily, lily-of-the-valley;vanille, tonka bean, musk, sandalwood
grey-line;la-rive;men;Adult (25-40);plum, bergamot, grapefruit;juniper, cinnamon, pepper;vanilla, sandalwood, cedar, musk
kenneth-cole-for-her;kenneth-cole;women;Adult (25-40);pink peony, carrot seeds, lemon;lily-of-the-valley, jasmine, violet, cyclamen;musk, heliotrope, ambrette (musk mallow), sandalwood
so-you;giorgio-beverly-hills;women;Adult (25-40);osmanthus, plum;paprika, tuberose, water lily, rose, violet;vanille, amber, musk
paris;fiorucci;women;Adult (25-40);rose, osmanthus, bergamot;ylang-ylang, orange blossom, jasmine;vanilla, amber, benzoin, pink pepper, tonka bean
fruit-d-amour-gold;emanuel-ungaro;women;Adult (25-40);black currant, bergamot;violet, iris, orange blossom;vanilla, patchouli
eau-libre;brecourt;men;Adult (25-40);bergamot, grapefruit, rosemary, pepper, pink pepper;water notes, mint, geranium, jasmine;musk, sandalwood, amber
douleur-2;bogue;unisex;Mature (40+);melon, camphor, cucumber, mint;metallic notes, salt, watery notes, rose;oysters, civet, resins, benzoin
vanity-femme-elegance;armaf;women;Mature (40+);aldehydes, raspberry, black currant, peach;gardenia, tuberose, ylang-ylang, peony, rose;sandalwood, vanilla, cashmere wood, amber, cedar, musk
fashion-model;avon;women;Adult (25-40);melon, violet leaf, lemon, plum, bergamot, mandarin orange;ozonic notes, jasmine, lilac, gardenia, orange blossom;sandalowood, amber, cedar, musk
miami-party;avon;women;Adult (25-40);blood orange, kumquat, pitahaya;palm leaf, water lily, cyclamen;musk, amber, teak wood
300-km-h-intense;avon;men;Adult (25-40);ginger, geranium, citruses;basil, violet leaves, cedar, anise, petitgrain;patchouli, vetiver, moss, teak wood, guaiac wood, sandalwood, amber, musk
aquavibe-abraca-aquavibe-laugh-more;avon;women;Youth (15-25);mandarin orange, lemon, fennel;lily-of-the-valley, raspberry, violet leaf;musk, amber, tonka bean
musk-oxygen;avon;men;Adult (25-40);bergamot, lime, mandarin orange;lavender;lavender, patchouli, amber, cedar
eve-embrace;avon;women;Youth (15-25);raspberry, strawberry, violet;rose, iris, osmanthus;patchouli, musk, amberwood, caramel
full-speed-intense;avon;men;Adult (25-40);geranium, ginger;cedar, basil, anise;vetiver, teak wood, patchouli, guaiac wood
perceive-silk;avon;women;Adult (25-40);italian mandarin;jasmine;musk
pur-blanca-blush;avon;women;Mature (40+);red currant, bergamot, ivy;rose, peony, lilac, water lily, carnation;dried fruits, musk, cedar
summer-white-bali;avon;women;Adult (25-40);pomegranate;frangipani;musk
sunday-cologne-eau-de-cologne;byredo;unisex;Mature (40+);bergamot, star anise, cardamom;lavender, geranium, incense;vetiver, moss, patchouli
clean-man;clean;men;Mature (40+);blood grapefruit, lavender, raspberry;lime, incense, cloves;musk, patchouli
book;commodity;unisex;Adult (25-40);sandalwood, cedar;black tea, musk;musk
blue-grass;elizabeth-arden;women;Mature (40+);aldehydes, lavender, geranium, lily, bergamot, orange blossom, neroli;lavender, carnation, spices, clove, narcissus, bay leaf, jasmine, tuberose, rose;benzoin, sandalwood, vetiver, musk, cedar, tonka bean
beyond-paradise-blue;estee-lauder;women;Adult (25-40);bergamot, tangerine, grapefruit;jasmine, frangipani, orange blossom;lavender, neroli, ylang-ylang, sandalwood, vanilla
rose-hubris;ex-nihilo;unisex;Mature (40+);litchi, fenugreek;rose de mai, labdanum;oakmoss, patchouli, musk
rosso-rubino;giardini-di-toscana;unisex;Mature (40+);bergamot, orange, lemon;cacao pod, rose, wild berries;oakmoss, coumarin, cashmeran, pink pepper, patchouli
rose-milano-soie-de-nacre;giorgio-armani;unisex;Mature (40+);lemon, bergamot;damask rose, jasmine;oakmoss, patchouli
sun-dapples;amway;women;Adult (25-40);melon, water notes, orange, green notes, black currant, plum;rose, peach, jasmine, lily-of-the-valley, geranium, iris;amber, musk, sandalwood
preludio;gritti;unisex;Mature (40+);lavender, watermelon, lemon;pine tree, woody notes, sandalwood, tobacco;musk, borage, amber
ego-stratis;juliette-has-a-gun;unisex;Adult (25-40);bergamot, lemon, mandarin orange;sea notes, blueberry, calone, neroli, peach;ambroxan, musk, cedar
kate-spade-new-york-bloom;kate-spade;women;Youth (15-25);granny smith apple, sicilian lemon, sweet orange;white camelia, orange blossom, ylang-ylang;cashmeran, cedarwood, sandalwood
chaps-woman;ralph-lauren;women;Adult (25-40);banana, carambola (star fruit), red berries;tuberose, jasmine, frangipani;woodsy notes, virginia cedar
tommy-summer-ocean-wave;tommy-hilfiger;men;Youth (15-25);apple, lemon, pink pepper, bitter orange;palm leaf, juniper, ravenala;tonka bean, akigalawood, musk
trussardi-ruby-red;trussardi;women;Adult (25-40);red fruits, ginger, bergamot;vanilla orchid, ylang ylang, cinnamon;patchouli, sandalwood, orcanox
sage-spell;viktor-rolf;unisex;Adult (25-40);pink grapefruit, pink pepper;sage, peppermint;wormwood, patchouli
baies-des-merveilles;yves-rocher;women;Adult (25-40);orange, lemon;cranberry;mint
comme-une-evidence;yves-rocher;women;Mature (40+);rhubarb, violet leaf;lily-of-the-valley, rose;oakmoss, patchouli, musk
mon-paris-floral-eau-de-parfum-in-love-collector;yves-saint-laurent;women;Youth (15-25);peach, pear, raspberry, bergamot;magnolia, peony, orange blossom, jasmine sambac, datura;musk, patchouli, cashmeran
eclipse-2012;oriflame;women;Adult (25-40);green notes, melon, mint;lily, rose, jasmine;musk, peach, plum, sandalwood
tycoon;oriflame;men;Mature (40+);sage, sea notes, bitter orange, lemon;cedar, atlas cedar, orange blossom;vetiver, leather, black amber
wonderlust-sensual-essence;michael-kors;women;Adult (25-40);peony, sour cherry, pink pepper, pear;jasmine, orange blossom;cashmere wood, amber, suede
lady-rebel-dance-queen;mango;women;Adult (25-40);pomelo, mandarin orange, red berries;jasmine, tuberose;musk, cashmere wood, patchouli
musk;axe;men;Mature (40+);lavender, green notes, lime;carnation, jasmine, rose;musk, precious woods, amber
lovely-blossom;armand-basi;women;Adult (25-40);apricot, orange blossom;jasmine, plum;heliotrope, woodsy notes
blooming-lemon-cvetusij-limon;brocard;women;Youth (15-25);petitgrain, lemon, bergamot, orange;orange blossom, palmarosa, jasmine;vanilla, raspberry, heliotrope
sorbetto;brocard;unisex;Adult (25-40);sorbet, melon, black currant, blood orange;tiare flower, tuberose, egyptian jasmine;vanilla, musk
whisky-black;evaflor;men;Mature (40+);lime, bergamot;watery notes;white tobacco, tonka bean, guaiac wood
collection-privee-nuits-blanches;faberlic;women;Mature (40+);lime (linden) blossom, tarragon, pepper, mandarin orange;marigold, lily-of-the-valley, magnolia, ginger;passionfruit, sandalwood, vetiver, amber, incense
vamp-red;pupa;women;Adult (25-40);pink pepper, mirabelle, bergamot;iris, peach blossom, jasmine, patchouli, tuberose, rose;cacao, tonka bean, sandalwood, vanilla, amber, musk
journey-of-life-extrait-of-dreams;adi-ale-van;unisex;Mature (40+);grapes, clary sage;plum, cypriol oil or nagarmotha;castoreum, cacao, vetiver
cosmic;agent-provocateur;women;Adult (25-40);rhubarb, mojito, pear;peony, jasmine sambac;cedar, vanilla orchid
not-vanilla;borntostandout;unisex;Youth (15-25);camphor, nutmeg, bergamot;juniper berries, vanilla, cedar, violet;cetalox, musk, praline, guaiac wood, moss, amber
princesse-muscat;comptoir-sud-pacifique;women;Youth (15-25);cranberry, raspberry, grapefruit, bergamot;orchid, rose, mango, jasmine;musk, grapes, sandalwood
enjoy-man;custo-barcelona;men;Youth (15-25);grapefruit, violet leaf, pineapple;water notes, sage;cedar, musk, tonka bean, vetiver
dkny-be-delicious-juiced;donna-karan;women;Youth (15-25);pear, mango;granny smith apple, lily-of-the-valley, peony, violet;virginia cedar, amber, woodsy notes
club;franck-olivier;women;Mature (40+);herbal notes, artemisia, tyger lily;tarragon, water lily, freesia;oakmoss, white musk, sandalwood
golden-fever;haute-fragrance-company-hfc;unisex;Adult (25-40);galbanum, ylang-ylang, black pepper;narcissus, jasmine, turkish rose;patchouli, powdery notes, brown sugar, musk, agarwood (oud)
pepel-ash;holynose-parfums;unisex;Mature (40+);black pepper, coriander;tobacco, tea;woody notes, ambergris
jardin-d-andalousie;id-parfums;women;Adult (25-40);mandarin orange, citruses;orange blossom, jasmine;white musk, woody notes
tentation-de-violettes;id-parfums;women;Youth (15-25);raspberry, black currant, pink pepper;violet, wisteria;iris, sandalwood, heliotrope
nathalie-de-fath;jacques-fath;women;Youth (15-25);bergamot, lime, apple;lotus, freesia, jasmine;cedar, sandalwood, musk
boum;jeanne-arthes;women;Youth (15-25);sugar cane, strawberry, black tea;raspberry, peony, violet, rose, freesia;white musk, amber, cedar, sandalwood
royal-oud;la-maison-de-la-vanille;unisex;Adult (25-40);turkish rose, egyptian jasmine;agarwood (oud), patchouli, sandalowood, guaiac wood;white musk
les-plaisirs;lulu-castagnette;women;Adult (25-40);lemon, bergamot, pear;orange blossom, fig, freesia;vetiver, musk, lorenox
mercedes-benz-sea;mercedes-benz;men;Adult (25-40);tangerine;floral notes, violet leaf;woody notes, patchouli
yacht-man-blue;myrurgia;men;Mature (40+);melon, lemon, bergamot, green apple;jasmine, green notes, freesia, carnation;leather, almond, cedar, sandalwood
cristallo-di-rocca-new-edition;omnia-profumi;unisex;Mature (40+);nutmeg, caramel, vanilla;spices, incense;tobacco blossom, white musk
royal-oeillet;oriza-l-legrand;unisex;Mature (40+);black pepper, rose, myrrh;cloves, geranium, pink pepper, cedar;black pepper, bitter orange, sandalwood, violet leaf
passport-st-moritz;paris-hilton;women;Adult (25-40);water notes, mountain air, amalfi lemon, green notes, ivy, pear;red poppy, lily-of-the-valley, jasmine, freesia, peony;musk, sandalwood, amber
not-your-baby;phlur;unisex;Adult (25-40);cardamom, bergamot;mimosa, violet;vanilla, tonka bean, sandalwood
l-eau-magnetic;miller-harris;unisex;Mature (40+);bergamot, pink pepper, citron, lemon;petitgrain, white cedar extract;tobacco, bourbon vanilla, tonka bean
posi;v-canto;unisex;Mature (40+);rose, saffron, lemon, bergamot;cypriol oil or nagarmotha, geranium, amber, ylang-ylang;woody notes, patchouli, sandalwood, oakmoss, musk
guercino;v-canto;unisex;Youth (15-25);brazilian orange, bitter orange, amalfi lemon, cedar, calabrian bergamot;melon, pear, green apple, frangipani, heliotrope;amyris, musk, ambergris, silver fir, bourbon vanilla, patchouli
paris-dream;ulric-de-varens;women;Youth (15-25);cranberry, raspberry, blood mandarin;cherry blossom, rose, cyclamen;peach, sandalwood, grapefruit
ycaro;thera-cosmeticos;men;Adult (25-40);citron;juniper berries, precious woods, mineral notes;pepper
tarea-2011;rue21;women;Youth (15-25);pomegranate, red apple, pear;peony, jasmine;woodsy notes, amber
hope;orlov-paris;women;Adult (25-40);violet leaf, pink pepper, bergamot;peach, osmanthus, rose;musk, cedar, patchouli
gaia;max-philip;unisex;Adult (25-40);mandarin orange;violet leaves, osmanthus;suede, patchouli, sandalwood
cash-woman;la-rive;women;Youth (15-25);lemon, neroli, raspberry;jasmine, gardenia, orange blossom;amber, white honey, patchouli
imperial-harem;jousset-parfums;unisex;Adult (25-40);peru balsam;rose;amber, vanilla
joop-homme-extreme;joop;men;Mature (40+);cacao;leather;patchouli
bergamot-blossom;illuminum;unisex;Mature (40+);bergamot, blood orange, amalfi lemon, pimento;neroli, thyme, black pepper;musk, oakmoss, labdanum
bergamusk;heretic-parfums;unisex;Adult (25-40);lemon verbena, bergamot, lavender, lime, thyme;jasmine, cedar;musk, ambrettolide, sandalwood
white-musk;giardino-benessere;unisex;Adult (25-40);freesia, bergamot, peach;jasmine, ylang-ylang, white orchid;musk, cedar, guaiac wood
checkmate;frapin;unisex;Mature (40+);cardamom, lemon, bergamot;leather, iris, heliotrope;suede, woody notes, cashmere wood, cedar
ozone;franck-boclet;unisex;Mature (40+);water notes, salt;metallic notes;leather, cedar, tobacco
donatella;esse-strikes-the-notes;women;Mature (40+);violet, iris, bergamot, rose;patchouli, myrhh, pink pepper, incense, woodsy notes;white musk, ambergris, vanilla
apparition-sun;emanuel-ungaro;women;Youth (15-25);pink grapefruit, raspberry;rose, freesia;musk, cedar
nuelle-innocent;dilis-parfum;women;Adult (25-40);tea leaf, peach blossom, peony;green lilac, musk, amber;chinese osmanthus, petitgrain, cedar
violet;franck-boclet;unisex;Adult (25-40);black, pink pepper, nutmeg, cardamom, citruses;violet;woody notes
absolute-man;bruno-banani;men;Adult (25-40);mandarin orange, grapefruit, black pepper;violet leaf, lily-of-the-valley;woody notes, tonka bean, vanilla, amber
shine-like-a-night;blumarine;women;Adult (25-40);yellow mandarin, pink pepper, bergamot;frangipani, mugane, ginger;tonka bean, lorenox, ambroxan
urbanist-femme;al-haramain-perfumes;women;Youth (15-25);pineapple, apple, lemon, orange;jasmine, iris;musk, patchouli, amber
make-me-smile;avon;women;Adult (25-40);mandarin orange, bergamot, grapefruit;tagetes, jasmine, lily-of-the-valley;musk, tonka bean, woody notes, sandalwood
local-nature-almond;avon;unisex;Adult (25-40);almond milk;pear;vanilla
jolie-rose;azzaro;women;Adult (25-40);black currant, kumquat, lemon;rose, water lily, violet;musk, cedar
sel-d-argent;bdk-parfums;unisex;Adult (25-40);salt, grapefruit, bergamot;tunisian orange blossom, madagascar ylang-ylang, iran galbanum;white musk, ambroxan, iso e super, cashmeran
anais-anais;cacharel;women;Mature (40+);white lily, hiacynth, honeysuckle, galbanum, orange blossom, lavender, bergamot, black currant, lemon;lily, lily-of-the-valley, moroccan jasmine, carnation, honeysuckle, tuberose, ylang-ylang, iris, rose, orris root;oakmoss, incense, musk, leather, sandalwood, vetiver, cedar, patchouli, amber
ch-kings;carolina-herrera;men;Youth (15-25);pink pepper, black pepper, violet, cardamom;cacao, lavender, coffee, pineapple, clary sage;tonka bean, musk, amber
cool-water-wave;davidoff;women;Adult (25-40);watermelon, guava, passionfruit, mango;pink pepper, peony, freesia;musk, iris, sandalwood, amber
my-sweetest-morphine;ex-nihilo;unisex;Adult (25-40);lilac, ozonic notes, bergamot;mimosa, solar notes, rose;musk, patchouli, vetiver
secret-intention;guerlain;women;Adult (25-40);tea, coriander, cardamom, bergamot, lemon;peony, jasmine, neroli;tonka bean, sandalwood, vanilla
boss-alive-parfum;hugo-boss;women;Mature (40+);jasmine;vetiver;leather
azalee;lalique;women;Adult (25-40);peach, freesia, bergamot;gardenia, jasmine, rose;patchouli, musk, sandalwood
amethyst-eclat;lalique;women;Youth (15-25);raspberry, black currant, pear;peony, rose, magnolia;blackberry, musk, violet woodsorrel
qimmah-for-men;lattafa-perfumes;men;Adult (25-40);cedar, agarwood;lavender, sage, rosemary;patchouli, vetiver
gourmet;m-micallef;unisex;Mature (40+);incense, raspberry;chestnut, leather, violet;vanilla, agarwood (oud), labdanum
flying;maison-martin-margiela;unisex;Adult (25-40);orange blossom, bergamot, petitgrain;neroli essence, ylang-ylang, almond blossom;ozonic notes, musk, moss
vaadhoo;memo-paris;unisex;Adult (25-40);ginger, basil, cassis;geranium, immortelle, jasmine;vetiver, patchouli, moss
